,test_image,response,resptime,proband,rotation,image,category,sigma
0,nature_3_r.jpeg,4,28.686909,Louis,True,nature_3,nature,original
1,portrait_9_4.jpeg,1,2.191806,Louis,False,portrait_9,portrait,4
2,art_6_20.jpeg,2,4.689927,Louis,False,art_6,art,20
3,art_9_12.jpeg,2,3.736233,Louis,False,art_9,art,12
4,nature_10_7.jpeg,1,1.395104,Louis,False,nature_10,nature,7
5,nature_9_r.jpeg,4,1.178283,Louis,True,nature_9,nature,original
6,art_5.jpeg,3,5.888736,Louis,False,art_5,art,original
7,nature_2_7.jpeg,1,1.333851,Louis,False,nature_2,nature,7
8,portrait_4_r_4.jpeg,1,1.162729,Louis,True,portrait_4,portrait,4
9,nature_8_7.jpeg,2,2.110508,Louis,False,nature_8,nature,7
10,nature_3.jpeg,4,5.903342,Louis,False,nature_3,nature,original
11,portrait_8_4.jpeg,1,1.372017,Louis,False,portrait_8,portrait,4
12,nature_2_r_20.jpeg,2,5.272169,Louis,True,nature_2,nature,20
13,nature_9_r_20.jpeg,2,4.830855,Louis,True,nature_9,nature,20
14,art_9_r_7.jpeg,1,1.227602,Louis,True,art_9,art,7
15,portrait_3_r_12.jpeg,4,7.262694,Louis,True,portrait_3,portrait,12
16,portrait_1_12.jpeg,5,3.768063,Louis,False,portrait_1,portrait,12
17,portrait_2_4.jpeg,1,5.302165,Louis,False,portrait_2,portrait,4
18,portrait_6_r_7.jpeg,1,1.500523,Louis,True,portrait_6,portrait,7
19,art_3_r_7.jpeg,1,1.39648,Louis,True,art_3,art,7
20,nature_1_r_20.jpeg,5,7.675149,Louis,True,nature_1,nature,20
21,nature_8_r_20.jpeg,4,2.310128,Louis,True,nature_8,nature,20
22,portrait_2_7.jpeg,4,4.625348,Louis,False,portrait_2,portrait,7
23,portrait_9_r_20.jpeg,4,4.68916,Louis,True,portrait_9,portrait,20
24,nature_1_r_12.jpeg,3,7.918087,Louis,True,nature_1,nature,12
25,art_9_20.jpeg,3,2.653395,Louis,False,art_9,art,20
26,nature_2_4.jpeg,1,1.87935,Louis,False,nature_2,nature,4
27,portrait_10_7.jpeg,2,18.870583,Louis,False,portrait_10,portrait,7
28,portrait_1_20.jpeg,5,5.368724,Louis,False,portrait_1,portrait,20
29,art_7_12.jpeg,3,4.333337,Louis,False,art_7,art,12
30,portrait_6_12.jpeg,2,4.183611,Louis,False,portrait_6,portrait,12
31,nature_3_20.jpeg,4,9.013665,Louis,False,nature_3,nature,20
32,nature_8_r.jpeg,5,5.706813,Louis,True,nature_8,nature,original
33,nature_5_7.jpeg,1,3.752971,Louis,False,nature_5,nature,7
34,portrait_2.jpeg,5,13.768221,Louis,False,portrait_2,portrait,original
35,nature_7_r_7.jpeg,2,4.82334,Louis,True,nature_7,nature,7
36,portrait_6_4.jpeg,1,0.956178,Louis,False,portrait_6,portrait,4
37,portrait_8_20.jpeg,4,12.281179,Louis,False,portrait_8,portrait,20
38,portrait_7_4.jpeg,1,1.357404,Louis,False,portrait_7,portrait,4
39,art_8_r_7.jpeg,2,3.566512,Louis,True,art_8,art,7
40,nature_4_4.jpeg,1,1.10855,Louis,False,nature_4,nature,4
41,art_2_r_20.jpeg,4,3.940392,Louis,True,art_2,art,20
42,art_7_r_12.jpeg,2,8.337093,Louis,True,art_7,art,12
43,art_1_r_4.jpeg,5,2.53379,Louis,True,art_1,art,4
44,nature_9_12.jpeg,4,4.625537,Louis,False,nature_9,nature,12
45,nature_3_r_20.jpeg,5,4.569428,Louis,True,nature_3,nature,20
46,art_9_r_12.jpeg,4,7.377826,Louis,True,art_9,art,12
47,portrait_7_7.jpeg,2,8.652736,Louis,False,portrait_7,portrait,7
48,nature_6_r.jpeg,5,2.760127,Louis,True,nature_6,nature,original
49,nature_7_4.jpeg,2,11.414749,Louis,False,nature_7,nature,4
50,art_7_20.jpeg,4,3.639504,Louis,False,art_7,art,20
51,portrait_5_7.jpeg,1,7.936032,Louis,False,portrait_5,portrait,7
52,nature_2_r_7.jpeg,1,1.05764,Louis,True,nature_2,nature,7
53,nature_10_4.jpeg,1,0.802232,Louis,False,nature_10,nature,4
54,portrait_2_12.jpeg,4,7.591139,Louis,False,portrait_2,portrait,12
55,portrait_5_4.jpeg,1,1.316475,Louis,False,portrait_5,portrait,4
56,art_1_12.jpeg,4,9.229034,Louis,False,art_1,art,12
57,nature_8_4.jpeg,1,1.418898,Louis,False,nature_8,nature,4
58,nature_3_r_4.jpeg,1,0.995356,Louis,True,nature_3,nature,4
59,nature_10.jpeg,3,5.558546,Louis,False,nature_10,nature,original
60,art_5_20.jpeg,4,5.110285,Louis,False,art_5,art,20
61,art_10_20.jpeg,2,9.016374,Louis,False,art_10,art,20
62,art_2_r_7.jpeg,2,5.544218,Louis,True,art_2,art,7
63,portrait_9_20.jpeg,4,11.031636,Louis,False,portrait_9,portrait,20
64,art_5_4.jpeg,1,1.245158,Louis,False,art_5,art,4
65,art_6_7.jpeg,2,1.644837,Louis,False,art_6,art,7
66,portrait_2_r_7.jpeg,2,6.364744,Louis,True,portrait_2,portrait,7
67,portrait_3_r_4.jpeg,1,1.299886,Louis,True,portrait_3,portrait,4
68,art_4_r_12.jpeg,4,14.560477,Louis,True,art_4,art,12
69,portrait_4.jpeg,5,11.34726,Louis,False,portrait_4,portrait,original
70,portrait_2_r_12.jpeg,3,8.243992,Louis,True,portrait_2,portrait,12
71,portrait_9_r_7.jpeg,1,3.075401,Louis,True,portrait_9,portrait,7
72,nature_6_7.jpeg,1,1.351431,Louis,False,nature_6,nature,7
73,art_3_7.jpeg,1,1.138693,Louis,False,art_3,art,7
74,portrait_2_r_4.jpeg,1,0.987613,Louis,True,portrait_2,portrait,4
75,art_10_r_20.jpeg,3,3.555679,Louis,True,art_10,art,20
76,art_6_r_7.jpeg,2,2.338668,Louis,True,art_6,art,7
77,art_2.jpeg,5,4.992886,Louis,False,art_2,art,original
78,nature_9_4.jpeg,2,1.676099,Louis,False,nature_9,nature,4
79,portrait_3_20.jpeg,4,6.693465,Louis,False,portrait_3,portrait,20
80,nature_10_r_20.jpeg,4,5.687196,Louis,True,nature_10,nature,20
81,nature_6_r_4.jpeg,1,2.390309,Louis,True,nature_6,nature,4
82,nature_1_r.jpeg,4,9.208349,Louis,True,nature_1,nature,original
83,portrait_9_r_4.jpeg,1,1.610745,Louis,True,portrait_9,portrait,4
84,portrait_8_r_7.jpeg,1,2.697443,Louis,True,portrait_8,portrait,7
85,art_7_4.jpeg,1,0.989366,Louis,False,art_7,art,4
86,art_4_12.jpeg,5,3.487087,Louis,False,art_4,art,12
87,portrait_10_r_12.jpeg,3,4.843287,Louis,True,portrait_10,portrait,12
88,portrait_3_4.jpeg,1,1.644162,Louis,False,portrait_3,portrait,4
89,nature_7_r_12.jpeg,4,6.563693,Louis,True,nature_7,nature,12
90,nature_5_r_12.jpeg,2,4.698683,Louis,True,nature_5,nature,12
91,art_1_r_7.jpeg,3,13.775184,Louis,True,art_1,art,7
92,portrait_1_r_4.jpeg,1,6.863905,Louis,True,portrait_1,portrait,4
93,nature_7_12.jpeg,4,2.814765,Louis,False,nature_7,nature,12
94,portrait_6_20.jpeg,5,10.506534,Louis,False,portrait_6,portrait,20
95,art_10_7.jpeg,2,2.698253,Louis,False,art_10,art,7
96,portrait_4_r_12.jpeg,2,1.890809,Louis,True,portrait_4,portrait,12
97,nature_3_7.jpeg,2,2.463675,Louis,False,nature_3,nature,7
98,art_7_r.jpeg,5,1.872547,Louis,True,art_7,art,original
99,portrait_9_r.jpeg,5,2.325077,Louis,True,portrait_9,portrait,original
100,portrait_10_4.jpeg,1,1.323724,Louis,False,portrait_10,portrait,4
101,nature_7_20.jpeg,5,6.542552,Louis,False,nature_7,nature,20
102,nature_4_7.jpeg,3,2.845655,Louis,False,nature_4,nature,7
103,art_4_r_20.jpeg,5,1.836739,Louis,True,art_4,art,20
104,art_5_r_20.jpeg,3,15.43825,Louis,True,art_5,art,20
105,nature_1.jpeg,4,4.061463,Louis,False,nature_1,nature,original
106,nature_9_r_4.jpeg,1,3.234107,Louis,True,nature_9,nature,4
107,art_7_r_7.jpeg,1,1.212972,Louis,True,art_7,art,7
108,portrait_4_12.jpeg,2,2.27944,Louis,False,portrait_4,portrait,12
109,nature_3_12.jpeg,4,1.655298,Louis,False,nature_3,nature,12
110,art_2_r.jpeg,3,2.448954,Louis,True,art_2,art,original
111,portrait_3_r_20.jpeg,5,2.110717,Louis,True,portrait_3,portrait,20
112,nature_5_r_4.jpeg,1,1.356373,Louis,True,nature_5,nature,4
113,art_6_r_20.jpeg,2,2.635577,Louis,True,art_6,art,20
114,portrait_5_r.jpeg,5,2.704898,Louis,True,portrait_5,portrait,original
115,art_1.jpeg,5,1.249717,Louis,False,art_1,art,original
116,portrait_8_7.jpeg,2,1.186516,Louis,False,portrait_8,portrait,7
117,nature_10_r_12.jpeg,2,1.631529,Louis,True,nature_10,nature,12
118,nature_7_r.jpeg,3,1.942459,Louis,True,nature_7,nature,original
119,portrait_2_20.jpeg,4,4.137182,Louis,False,portrait_2,portrait,20
120,nature_5_r.jpeg,5,4.762354,Louis,True,nature_5,nature,original
121,art_3_r_4.jpeg,1,1.44815,Louis,True,art_3,art,4
122,art_4_4.jpeg,2,3.651606,Louis,False,art_4,art,4
123,art_7_r_20.jpeg,3,1.916423,Louis,True,art_7,art,20
124,art_2_r_4.jpeg,1,1.93053,Louis,True,art_2,art,4
125,portrait_10_r_20.jpeg,4,1.80474,Louis,True,portrait_10,portrait,20
126,portrait_2_r.jpeg,5,6.127705,Louis,True,portrait_2,portrait,original
127,portrait_3_r_7.jpeg,2,2.287595,Louis,True,portrait_3,portrait,7
128,art_10_12.jpeg,2,6.539846,Louis,False,art_10,art,12
129,art_8_r_20.jpeg,2,1.808861,Louis,True,art_8,art,20
130,portrait_10_20.jpeg,3,4.693585,Louis,False,portrait_10,portrait,20
131,art_3_4.jpeg,1,0.973869,Louis,False,art_3,art,4
